TimeStamp,Kurtosis,Skewness,RMS,CrestFactor,ClearanceIndicator,ShapeIndicator,ImpulseIndicator,Variance,StandardDeviation,SRAV,AMAV,FGP
2021-11-12 ?? 10:01:06,-0.25531,0.0883194,0.000125831,3.01991,4.40922,1.24081,3.74714,1.55E-08,0.000124431,8.62E-05,0.000101411,0
2021-11-12 ?? 10:01:05,0.0551582,0.0136565,0.000133037,3.8185,5.64962,1.251,4.77694,1.65E-08,0.00012842,8.99E-05,0.000106344,0.146484
2021-11-12 ?? 10:01:04,-0.0521615,-0.161033,0.000159391,3.39417,5.07808,1.25779,4.26913,1.71E-08,0.000130895,0.000106536,0.000126724,0
2021-11-12 ?? 10:01:03,-0.172217,0.0647128,0.000148278,3.8374,5.53533,1.23313,4.732,1.74E-08,0.000131928,0.000102794,0.000120245,0.0488281
2021-11-12 ?? 10:01:02,-0.135911,-0.104072,0.000141822,3.44799,5.07571,1.24913,4.307,1.46E-08,0.000120934,9.63E-05,0.000113536,0.0488281
2021-11-12 ?? 10:01:01,-0.0850422,-0.0340646,0.000135061,3.41327,5.01504,1.2485,4.26149,1.56E-08,0.000124915,9.19E-05,0.000108178,0.195312
2021-11-12 ?? 10:01:00,-0.0496125,0.0289678,0.000124564,3.90964,5.76008,1.25041,4.88864,1.36E-08,0.000116783,8.45E-05,9.96E-05,0.146484
2021-11-12 ?? 10:00:59,-0.210026,0.0521144,0.000130518,3.21029,4.6937,1.23882,3.97698,1.6E-08,0.000126659,8.93E-05,0.000105356,0.0488281
2021-11-12 ?? 10:00:58,-0.025237,-0.127746,0.000129159,3.63891,5.52165,1.2704,4.62289,1.41E-08,0.000118765,8.51E-05,0.000101668,0.146484
2021-11-12 ?? 10:00:57,-0.0571916,0.0308236,0.000133144,3.48495,4.99606,1.22655,4.27448,1.05E-08,0.000102522,9.29E-05,0.000108551,0.0488281
2021-11-12 ?? 10:00:56,-0.120483,0.0640637,0.000136679,3.25582,4.73722,1.24101,4.0405,1.61E-08,0.000126819,9.39E-05,0.000110135,0.0488281
2021-11-12 ?? 10:00:55,-0.17305,9.34E-06,0.000155698,3.44256,5.0137,1.2398,4.26809,1.79E-08,0.000133634,0.000106907,0.000125583,0.0488281
2021-11-12 ?? 10:00:54,-0.0399447,-0.0034451,0.000138397,3.58388,5.24507,1.24355,4.45673,1.41E-08,0.000118793,9.46E-05,0.000111292,0.195312
2021-11-12 ?? 10:00:53,-0.251811,-0.0082919,0.000138856,3.3704,4.91173,1.23974,4.17841,1.48E-08,0.000121853,9.53E-05,0.000112004,0.0488281
2021-11-12 ?? 10:00:52,-0.227164,0.0137934,0.000133809,2.95945,4.28758,1.23913,3.66713,1.42E-08,0.000119126,9.24E-05,0.000107986,0.146484
2021-11-12 ?? 10:00:51,-0.12308,-0.0259837,0.000119165,3.30635,4.90655,1.25473,4.14858,1.29E-08,0.000113785,8.03E-05,9.5E-05,0.0488281
2021-11-12 ?? 10:00:50,-0.0415697,-0.0295119,0.000124638,3.65057,5.43373,1.25744,4.59037,1.36E-08,0.000116451,8.37E-05,9.91E-05,0
2021-11-12 ?? 10:00:49,-0.259583,0.0356218,0.000129595,3.13284,4.56093,1.23845,3.87986,1.59E-08,0.00012611,8.9E-05,0.000104643,0
2021-11-12 ?? 10:00:48,-0.207941,-0.0998574,0.00013126,3.41307,5.04092,1.2518,4.27247,1.42E-08,0.000119268,8.89E-05,0.000104857,0
2021-11-12 ?? 10:00:47,-0.255805,-0.0293327,0.000129112,3.12131,4.53312,1.23918,3.86788,1.34E-08,0.000115883,8.89E-05,0.000104191,0.0488281
2021-11-12 ?? 10:00:46,-0.019098,0.094447,0.000129629,3.30944,4.79228,1.23398,4.0838,1.15E-08,0.000107191,8.95E-05,0.000105049,0.195312
2021-11-12 ?? 10:00:45,-0.210289,0.010285,0.000160889,3.62361,5.17949,1.2278,4.44909,1.86E-08,0.000136514,0.000112559,0.000131038,0.0488281
2021-11-12 ?? 10:00:44,-0.145151,0.0594361,0.000160636,2.95699,4.28051,1.23515,3.65234,1.9E-08,0.000137991,0.000110968,0.000130054,0.0976562
2021-11-12 ?? 10:00:43,-0.155423,0.039458,0.000145004,3.46887,5.03552,1.23586,4.28705,1.48E-08,0.000121652,9.99E-05,0.00011733,0.0976562
2021-11-12 ?? 10:00:42,-0.0887997,0.007709,0.000153156,3.44093,5.02905,1.24357,4.27905,1.78E-08,0.000133504,0.000104791,0.000123158,0.244141
2021-11-12 ?? 10:00:41,-0.197574,0.0708104,0.000138711,3.31626,4.81989,1.2378,4.10487,1.51E-08,0.000122827,9.54E-05,0.000112062,0.0976562
2021-11-12 ?? 10:00:40,28.3146,0.91606,0.00199947,10.0702,64.9826,2.95193,29.7264,3.99E-06,0.00199856,0.000309852,0.000677343,1.70898
2021-11-12 ?? 10:00:39,-0.307605,-0.463903,0.0267589,2.19265,3.36526,1.27708,2.8002,0.000716028,0.0267587,0.0174349,0.0209532,0
2021-11-12 ?? 10:00:38,-0.509506,-0.417625,0.0277442,2.11244,3.15978,1.25616,2.65356,0.000769736,0.0277441,0.0185481,0.0220865,0
2021-11-12 ?? 10:00:37,-0.607228,-0.416531,0.0280839,2.049,2.96321,1.23466,2.52981,0.000788702,0.0280838,0.0194195,0.0227464,0
2021-11-12 ?? 10:00:36,-0.649329,-0.420217,0.0287902,2.10447,3,1.22524,2.57847,0.000828868,0.0287901,0.020196,0.0234976,0
2021-11-12 ?? 10:00:35,-0.649738,-0.399721,0.0298562,2.10161,3.03511,1.23151,2.58815,0.000891388,0.0298561,0.0206734,0.0242435,0
2021-11-12 ?? 10:00:34,-0.715555,0.00943809,0.0325634,2.07294,3.12415,1.24865,2.58838,0.00106037,0.0325634,0.0216065,0.0260789,0
2021-11-12 ?? 10:00:33,-0.566888,0.14199,0.0331818,2.32591,3.60732,1.26989,2.95365,0.00110103,0.0331817,0.0213948,0.0261297,0
2021-11-12 ?? 10:00:32,-0.341118,0.122077,0.0301053,2.55061,3.87304,1.26483,3.22609,0.000906322,0.0301052,0.019826,0.0238019,0
2021-11-12 ?? 10:00:31,3.52723,-1.48075,0.10139,4.0685,8.62398,1.55076,6.30926,0.0102798,0.10139,0.0478322,0.0653807,0
2021-11-12 ?? 10:00:30,0.737946,-1.08235,0.128215,3.22579,5.2606,1.32672,4.27972,0.0164391,0.128215,0.0786213,0.0966407,0
